epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,4031.05,0.47371,0.34438,0.89643,0.96293,0.97173,0.97503,0.893,0.51749,0.30574,0.95312,0.000580174,0.000580174,0.000580174
62,4096,0.46591,0.34144,0.89197,0.96915,0.97173,0.97759,0.89868,0.50968,0.30943,0.94836,0.000566027,0.000566027,0.000566027
63,4161.23,0.47158,0.34187,0.89601,0.97786,0.96526,0.97859,0.90212,0.50742,0.29996,0.94295,0.00055188,0.00055188,0.00055188
64,4225.59,0.4637,0.3381,0.89426,0.96547,0.97524,0.98,0.90447,0.49955,0.29497,0.93489,0.000537733,0.000537733,0.000537733
65,4289.94,0.45488,0.33984,0.88753,0.98345,0.96353,0.9805,0.90475,0.5016,0.29241,0.94547,0.000523586,0.000523586,0.000523586
66,4354.61,0.45942,0.33709,0.89134,0.97691,0.96821,0.9808,0.9035,0.50659,0.29507,0.9366,0.000509438,0.000509438,0.000509438
67,4419.03,0.45437,0.32736,0.88959,0.97519,0.96815,0.98005,0.90386,0.50481,0.29848,0.93779,0.000495291,0.000495291,0.000495291
68,4484.99,0.45656,0.32913,0.88695,0.97949,0.97025,0.97927,0.9025,0.50745,0.28827,0.94551,0.000481144,0.000481144,0.000481144
69,4551.49,0.45397,0.33062,0.88701,0.97777,0.97239,0.9782,0.90421,0.50388,0.28764,0.93751,0.000466997,0.000466997,0.000466997
70,4616.98,0.45574,0.32684,0.88728,0.97353,0.97122,0.97691,0.90338,0.5042,0.28561,0.94312,0.00045285,0.00045285,0.00045285
71,4683.12,0.43931,0.32108,0.88152,0.98272,0.96587,0.9826,0.9103,0.49929,0.28472,0.94107,0.000438703,0.000438703,0.000438703
72,4749.49,0.4435,0.31589,0.88204,0.97062,0.97407,0.98228,0.91077,0.49786,0.29468,0.93515,0.000424556,0.000424556,0.000424556
73,4815.79,0.44155,0.32171,0.88201,0.97729,0.96647,0.98291,0.90868,0.50374,0.29166,0.94681,0.000410409,0.000410409,0.000410409
74,4882.16,0.44171,0.31027,0.88321,0.98206,0.96567,0.98089,0.90766,0.50135,0.28284,0.94053,0.000396262,0.000396262,0.000396262
75,4948.6,0.43246,0.31452,0.87891,0.97263,0.97641,0.9828,0.90705,0.49743,0.28202,0.94646,0.000382115,0.000382115,0.000382115
76,5014.96,0.43479,0.31235,0.8787,0.97552,0.97388,0.97893,0.90598,0.49288,0.28599,0.94188,0.000367967,0.000367967,0.000367967
77,5081.3,0.43867,0.31414,0.88088,0.97937,0.96672,0.97999,0.90571,0.49672,0.28341,0.94594,0.00035382,0.00035382,0.00035382
78,5147.77,0.43352,0.30808,0.87924,0.97993,0.96587,0.9773,0.90251,0.49829,0.28837,0.9454,0.000339673,0.000339673,0.000339673
79,5214.25,0.43139,0.31084,0.87647,0.97167,0.97173,0.97959,0.90686,0.49411,0.29444,0.94934,0.000325526,0.000325526,0.000325526
80,5280.51,0.42561,0.3051,0.87853,0.97686,0.97147,0.98094,0.90698,0.49315,0.29199,0.94616,0.000311379,0.000311379,0.000311379
81,5346.97,0.42241,0.301,0.87551,0.97421,0.96938,0.98124,0.91062,0.4948,0.28968,0.94208,0.000297232,0.000297232,0.000297232
82,5413.26,0.42425,0.3028,0.87456,0.97003,0.9729,0.97872,0.90756,0.4945,0.28851,0.94602,0.000283085,0.000283085,0.000283085
